
air_quality,air_quality_raw,comfort,humidity,light,light_digital,light_raw,noise,noise_db,temperature,timestamp,people,occupancy_status
bom,124,bom,34.0,bom,0,145,baixo,33.57363,22.0,2026-05-16 11:52:40,0,
bom,119,bom,34.0,bom,0,123,baixo,29.59575,22.1,2026-05-16 11:53:10,0,
bom,105,bom,34.0,bom,0,144,baixo,32.66997,22.0,2026-05-16 11:53:40,0,
bom,93,bom,34.0,bom,0,155,baixo,31.27232,22.0,2026-05-16 11:54:10,0,
bom,121,bom,34.0,bom,0,171,baixo,33.25727,22.0,2026-05-16 11:54:40,0,
bom,92,bom,35.0,bom,0,151,baixo,33.75065,22.0,2026-05-16 11:55:10,0,
bom,149,bom,35.0,bom,0,156,baixo,31.05062,22.0,2026-05-16 11:55:40,0,
bom,159,bom,35.0,bom,0,145,baixo,33.09662,22.0,2026-05-16 11:56:10,0,
bom,122,bom,35.0,bom,0,149,baixo,32.63331,21.9,2026-05-16 11:56:40,0,
bom,111,bom,35.0,bom,0,155,baixo,34.38803,21.9,2026-05-16 11:57:10,0,
bom,109,bom,35.0,bom,0,153,baixo,31.11614,21.9,2026-05-16 11:57:40,0,
bom,105,bom,35.0,bom,0,141,baixo,33.20623,22.0,2026-05-16 11:58:10,0,
bom,114,bom,35.0,bom,0,151,baixo,33.26054,21.9,2026-05-16 11:58:40,0,
bom,137,bom,35.0,bom,0,141,baixo,34.76125,22.0,2026-05-16 11:59:10,0,
bom,110,bom,35.0,bom,0,146,baixo,32.36056,21.9,2026-05-16 11:59:41,0,
bom,109,bom,35.0,bom,0,156,baixo,33.04742,21.9,2026-05-16 12:00:11,0,
bom,109,bom,35.0,bom,0,147,baixo,34.01894,21.9,2026-05-16 12:00:41,0,
bom,123,bom,35.0,bom,0,141,moderado,35.44083,21.9,2026-05-16 12:01:11,0,
bom,99,bom,35.0,bom,0,148,baixo,32.17562,21.9,2026-05-16 12:01:41,0,
bom,152,bom,35.0,bom,0,145,baixo,34.08257,21.9,2026-05-16 12:02:11,0,
bom,99,bom,35.0,bom,0,87,baixo,33.5765,21.8,2026-05-16 12:02:41,0,
bom,118,bom,35.0,bom,0,151,baixo,29.73256,21.8,2026-05-16 12:03:11,0,
bom,146,bom,35.0,bom,0,150,baixo,34.18331,21.8,2026-05-16 12:03:41,0,
bom,83,bom,35.0,bom,0,149,baixo,30.92697,21.8,2026-05-16 12:04:11,0,
bom,139,bom,35.0,bom,0,151,baixo,29.08019,21.8,2026-05-16 12:04:41,0,
bom,138,bom,35.0,bom,0,119,baixo,33.99538,21.7,2026-05-16 12:05:11,0,
bom,125,bom,35.0,bom,0,141,baixo,32.66188,21.7,2026-05-16 12:05:41,0,
bom,93,bom,35.0,bom,0,148,baixo,32.29844,21.8,2026-05-16 12:06:11,0,
bom,28,bom,35.0,bom,0,141,baixo,31.27463,21.8,2026-05-16 12:06:41,0,
bom,137,bom,35.0,bom,0,155,baixo,32.36101,21.8,2026-05-16 12:07:11,0,
bom,152,bom,35.0,bom,0,159,baixo,31.72097,21.7,2026-05-16 12:07:41,0,
bom,175,bom,35.0,bom,0,151,baixo,31.52335,21.7,2026-05-16 12:08:11,0,
bom,134,bom,35.0,bom,0,140,baixo,33.52636,21.7,2026-05-16 12:08:41,0,
bom,142,bom,35.0,bom,0,144,baixo,31.58932,21.8,2026-05-16 12:09:11,0,
